User Link,Answers,Average Answer Score
"489564","15","909.07"
"115218","11","477.36"
"1445334","15","422.6"
"361023","23","402.04"
"214090","34","365.91"
"295800","14","293.93"
"4079317","19","268.79"
"19082","35","265.03"
"39933","52","262.73"
"245602","14","257.14"
"289651","14","227.79"
"30700","11","225.18"
"207162","26","217.69"
"264","23","213.65"
"2063","13","210.92"
"1057","83","209.87"
"3070595","11","208.36"
"303425","23","207.78"
"1505540","23","204.39"
"15872","39","204.38"
"2446509","12","200.75"
"446","14","199.36"
"8221725","27","192.89"
"1569320","19","192.79"
"462","24","192.08"
"22850","30","183.6"
"333426","24","183.04"
"5373542","11","181.73"
"41165","25","181.28"
"2529592","11","175.82"
"422476","20","174.35"
"201598","11","171.27"
"166625","14","170.07"
"25449","62","168.48"
"717950","15","167.53"
"376086","22","166.45"
"634089","18","165.83"
"793395","23","165.61"
"1736537","26","165.38"
"3276955","12","163.92"
"830229","14","163.79"
"7779","12","162"
"4682","17","161"
"254048","11","158.45"
"8985","148","156.94"
"148270","11","156.09"
"2580302","11","154.18"
"19235","20","154.05"
"400653","21","153.33"
"346573","44","151.48"
"3120495","18","150.89"
"25472","22","150.64"
"202137","12","150.33"
"287145","13","148.08"
"402468","11","144.55"
"1163767","17","143.65"
"914425","11","142.82"
"613109","13","140.23"
"5422","55","139.51"
"5902074","16","138.31"
"2072786","13","137.08"
"58803","90","137"
"363","23","136.91"
"95706","155","136.68"
"195596","13","136.38"
"2107767","11","136"
"1531606","17","135.82"
"418400","21","135.14"
"1667497","11","133.55"
"496587","36","133.47"
"263457","19","132.89"
"98068","30","132.47"
"2083492","18","131.89"
"389026","11","131.36"
"4851043","89","130.28"
"625087","11","129.45"
"524427","12","129.25"
"704371","22","127.45"
"135180","14","126.29"
"1657018","17","126.12"
"18093","12","125.67"
"1446524","11","125.27"
"222277","14","125.21"
"1351261","11","124.27"
"8325","26","123.73"
"1996609","13","122.77"
"250096","16","122.75"
"137902","58","122.52"
"5033397","16","122.5"
"1881136","23","121.87"
"12089","47","121.17"
"7031","12","121.17"
"61008","31","121.1"
"34516","24","120.88"
"373","20","120.55"
"822","66","120.27"
"889715","11","119.36"
"865586","13","118.77"
"337214","17","118.65"
"14878","13","118.15"
"131183","13","118.08"
"2893843","27","117.67"
"484596","39","117.36"
"318558","12","117"
"675584","18","116.83"
"429","74","116.57"
"122683","31","115.9"
"1522019","11","115.73"
"6052290","31","115.58"
"4642","60","115.48"
"2856243","12","115.25"
"32536","17","114.94"
"172594","19","114.47"
"2862474","15","114.33"
"477480","18","114.28"
"80989","14","113.43"
"244","19","113.26"
"3103108","11","113"
"6817913","12","111.67"
"985998","11","111.36"
"402","14","110.29"
"174576","13","110"
"14755","26","109.81"
"3848424","25","109.68"
"5536","55","109.58"
"320830","16","109.5"
"57171","23","108.26"
"106673","13","107.08"
"825","142","105.76"
"968799","13","105.69"
"32617","15","104.33"
"1432509","26","104.27"
"12123","15","104.2"
"1247192","27","103.3"
"635960","19","103.11"
"17801","30","102.73"
"116838","24","102.29"
"13673","72","102.25"
"40764","14","101.5"
"777764","17","101.41"
"638529","23","101.26"
"28840","14","101.21"
"2626181","12","101"
"192810","42","100.86"
"54187","19","99.79"
"979987","32","99.44"
"109869","37","99.14"
"2116590","17","99.12"
"2260535","11","99.09"
"110223","17","99"
"4380127","12","98.83"
"1286601","37","98.81"
"19104","30","98.63"
"1365319","34","98.47"
"259038","133","98.32"
"7834","14","97.71"
"265072","13","97.62"
"1030702","16","97.44"
"956415","19","97.32"
"1429106","12","96.58"
"48728","38","96.53"
"119768","17","96.47"
"1140529","19","96"
"413325","12","95.83"
"36272","35","95.57"
"2713729","23","95.39"
"702199","11","95.27"
"189197","11","94.91"
"656927","11","94.36"
"3445","22","94.18"
"369986","24","93.58"
"3769905","18","93.56"
"48696","30","93.1"
"26112","17","93.06"
"392858","25","93.04"
"128988","20","92.7"
"1218422","16","92.69"
"622287","20","92.5"
"5026","17","92.47"
"1936697","11","92.45"
"710332","25","91.92"
"3066406","14","91.86"
"204414","28","91.86"
"6218152","27","91.81"
"627938","18","91.06"
"4850393","24","90.88"
"20846","45","90.82"
"4140711","24","90.79"
"1119621","31","90.55"
"27580","80","90.41"
"1509583","19","90.11"
"293087","12","89.92"
"2605574","15","89.2"
"11830","92","88.71"
"1933675","27","88.59"
"37664","14","87.93"
"1698813","27","87.63"
"874672","15","87.47"
"2342","27","87.41"
"767417","13","87.31"
"3645851","24","87.13"
"5184681","32","86.63"
"720","58","86.47"
"183994","22","86.32"
"390485","11","86"
"2231815","162","85.4"
"572370","21","85.38"
"349228","15","85.33"
"1390892","15","85.27"
"685853","12","84.92"
"111785","13","84.85"
"76235","18","84.83"
"158773","51","84.78"
"711784","18","84.61"
"1189651","16","84.38"
"3407728","12","84.17"
"256130","14","84"
"3883675","13","83.85"
"1941213","81","83.74"
"1669665","14","83.64"
"489586","43","83.53"
"109000","29","83.52"
"63474","16","83.5"
"597076","18","83.5"
"288671","132","83.42"
"6055946","12","83.25"
"19311","17","83.06"
"101697","15","82.93"
"2030","57","82.91"
"1418484","13","82.69"
"4444821","14","82.43"
"931340","33","82.3"
"550269","20","82.3"
"171675","15","82.27"
"2390501","11","82.18"
"973737","12","82.17"
"2458203","13","81.85"
"177525","41","81.85"
"136815","29","81.76"
"67756","18","81.33"
"9587","37","81.32"
"44563","23","81.3"
"601550","17","81.18"
"1983512","11","81"
"1150915","11","80.91"
"1879","48","80.75"
"940933","15","80.73"
"797320","12","80.67"
"1025068","32","80.66"
"9084","27","80.56"
"6529098","13","80.38"
"142","22","80.23"
"548637","27","80.19"
"1369","19","79.95"
"6340","31","79.87"
"111995","35","79.77"
"675618","54","79.7"
"1081173","11","79.55"
"24630","16","79.25"
"116186","44","79.23"
"3622349","12","79.17"
"754775","13","79.15"
"183801","13","79.08"
"352432","32","78.97"
"884","14","78.93"
"2338","35","78.83"
"1192220","12","78.75"
"46058","383","78.69"
"305818","67","78.46"
"968925","14","78.29"
"462370","27","78.11"
"5431638","17","77.41"
"9410","143","76.89"
"110358","26","76.73"
"287279","29","76.72"
"279452","24","76.5"
"1317040","14","76.29"
"85509","43","76.19"
"2864502","12","76"
"214545","22","76"
"400493","22","75.95"
"102939","23","75.91"
"12682","66","75.88"
"242583","26","75.81"
"912685","11","75.73"
"551087","26","75.65"
"681122","20","75.45"
"9951","448","75.39"
"905853","11","75.18"
"1731796","31","75.13"
"1069285","24","75.08"
"107618","16","75"
"3151337","28","74.71"
"690080","28","74.68"
"21279","11","74.45"
"2153571","59","74.34"
"51771","25","74.28"
"797604","52","74.15"
"31625","11","74.09"
"130961","26","73.77"
"1048274","11","73.73"
"11307065","12","73.5"
"25700","40","73.45"
"32899","25","73.28"
"698620","27","73.19"
"2031991","12","73.17"
"81364","14","73"
"164082","12","72.75"
"104446","17","72.59"
"3097649","12","72.5"
"1726413","27","72.48"
"434980","31","72.23"
"963442","11","72.18"
"1618316","16","72.13"
"1116855","17","72"
"40005","185","71.92"
"207432","93","71.91"
"1319088","24","71.75"
"564825","11","71.55"
"529548","37","71.46"
"2089740","22","71.41"
"4185515","35","71.34"
"22445","23","71.26"
"6498192","13","71.23"
"121872","13","71.08"
"552193","11","71"
"51051","14","70.93"
"371037","20","70.5"
"445772","13","70.46"
"772487","11","70.45"
"3433751","46","70.24"
"1548051","94","70.11"
"1368904","20","70.1"
"2644465","19","70"
"2272346","22","69.73"
"2351523","16","69.44"
"145282","16","69.38"
"297347","16","69.31"
"44537","20","69.2"
"394487","294","68.98"
"1276950","48","68.73"
"39965","11","68.73"
"432927","11","68.45"
"1342806","11","68.18"
"24789","16","68.13"
"417839","11","68.09"
"27426","11","68.09"
"1609077","21","68.05"
"129190","77","68.03"
"829739","18","67.89"
"86463","131","67.78"
"555899","52","67.73"
"4151201","15","67.73"
"3047976","19","67.68"
"32958","36","67.61"
"632724","52","67.44"
"866732","65","67.38"
"186187","11","67.27"
"1537951","11","67.18"
"1310","103","67.18"
"1311472","14","67.14"
"1726069","25","67.08"
"970288","34","67.06"
"32598","77","67.06"
"1863627","27","66.93"
"744204","18","66.89"
"1093659","12","66.83"
"108648","22","66.5"
"1711377","19","66.37"
"119963","732","66.35"
"1586","12","66.25"
"1081207","17","66.18"
"20089","37","66.03"
"1878906","17","65.94"
"385848","13","65.92"
"8825","27","65.89"
"5486","279","65.77"
"485695","21","65.76"
"3302026","54","65.76"
"1199","351","65.72"
"783377","25","65.72"
"1140524","15","65.6"
"1289107","14","65.36"
"1348198","11","65.36"
"4172","111","65.29"
"283512","16","65.25"
"416369","33","65.21"
"4196117","14","65.21"
"1575238","95","65.21"
"2750088","15","65.2"
"6806662","12","65.17"
"922184","845","65.09"
"76048","34","65.06"
"4223","65","64.69"
"2806","13","64.54"
"1612318","75","64.37"
"25167","14","64.29"
"1659311","17","64.29"
"91226","11","64.27"
"1886396","12","64.25"
"43597","36","64.14"
"171490","26","64.12"
"187014","17","64.12"
"808732","14","64.07"
"137100","11","63.82"
"457375","30","63.8"
"4306607","11","63.73"
"4048","16","63.69"
"40618","19","63.68"
"337549","24","63.67"
"813181","17","63.65"
"56018","88","63.61"
"163884","11","63.55"
"976858","17","63.53"
"4053082","25","63.52"
"243559","47","63.4"
"1214294","12","63.17"
"815219","12","63.17"
"2374361","14","63.14"
"168740","24","63.13"
"1844500","21","62.95"
"18515","145","62.86"
"77449","19","62.84"
"456144","24","62.79"
"808727","18","62.78"
"2517068","22","62.68"
"2093341","19","62.58"
"2290538","12","62.58"
"223092","721","62.51"
"764056","12","62.42"
"343088","80","62.21"
"22710","16","62.13"
"4838","15","62.07"
"738764","11","62"
"1228491","17","61.82"
"232064","28","61.75"
"1098302","11","61.73"
"1471135","13","61.62"
"69339","18","61.61"
"611232","21","61.48"
"7829","15","61.47"
"50450","11","61.45"
"4120","112","61.43"
"104184","193","61.26"
"1550074","13","61.23"
"6576804","14","61.21"
"4729261","17","61.18"
"2160475","12","61.17"
"193688","350","61.16"
"100586","15","61.07"
"48492","181","61.06"
"1772821","19","61.05"
"3506362","23","61"
"31099","13","61"
"1696153","71","60.62"
"3589191","22","60.55"
"183277","20","60.55"
"3411861","17","60.41"
"67667","15","60.33"
"24179","23","60.3"
"2389707","35","60.29"
"192711","11","60.27"
"245614","11","60.09"
"2964927","23","60.04"
"1694","256","60.04"
"495174","18","59.94"
"4448501","17","59.94"
"479567","13","59.92"
"1269204","21","59.86"
"253954","11","59.82"
"8763","15","59.8"
"355491","13","59.77"
"30497","22","59.68"
"3898601","12","59.67"
"254415","36","59.58"
"1724702","31","59.58"
"21590","49","59.53"
"1187046","12","59.42"
"1467306","21","59.38"
"189639","11","59.36"
"2748493","11","59.36"
"742","68","59.31"
"54999","19","59.26"
"1675586","27","59.22"
"679897","21","59.19"
"4096935","22","59.18"
"2441506","16","59.13"
"1476240","45","59.02"
"822138","68","58.96"
"767412","17","58.88"
"571170","11","58.73"
"884978","197","58.66"
"2587797","26","58.58"
"2628","25","58.52"
"1820510","14","58.43"
"5674","15","58.33"
"4458849","11","58.27"
"2189578","17","58.24"
"177019","26","58.19"
"321730","11","58.18"